TRANSACTION_ID,TRANSACTION_DATE,GENDER,EMAIL_CONTACT,PRODUCT_DESCRIPTION,PRODUCT_UNIT_PRICE,QUANTITY,DISCOUNT_AMOUNT,NET_SALE_VALUE,REGION,COUNTRY,CAPITAL_CITY,EVENT_LOG_TIMESTAMP,First Name,Last Name,Year,Month,Day,Week,Quarter
1464930000000.0,2016-06-09,FEMALE,groverandjackson@yahoomail.com,FURNITURE,450,3,8,1342,C.W. OF IND. STATES ,Turkmenistan ,Ashgabat,2016-Jun-03 10:19:36,Mrs.Grover,Jackson,2016,6,9,23,2
1464930000000.0,2016-06-06,FEMALE,theodore.WILSON@yahoomail.com,LITERATURE,90,8,5,715,C.W. OF IND. STATES ,Georgia ,Tbilisi,2016-Jun-03 10:19:37,Mrs.Theodore,Wilson,2016,6,6,23,2
1464930000000.0,2016-06-09,FEMALE,t.theodore.c.carter@in.defteam.com,TOYS,25,9,6,219,LATIN AMER. & CARIB    ,Anguilla ,The Valley,2016-Jun-03 10:19:39,Mrs.Theodore,Carter,2016,6,9,23,2
1464930000000.0,2016-06-09,MALE,j@hotmail.com,ELECTRICAL,250,8,1,1999,EASTERN EUROPE                     ,Poland ,Warsaw,2016-Jun-03 10:19:42,Mr.James,Wilson,2016,6,9,23,2
1464930000000.0,2016-06-07,FEMALE,zachary.2015-harrison-boom@gmail.com,ENTERTAINMENT,110,9,5,985,SUB-SAHARAN AFRICA                 ,Tanzania ,Dodoma,2016-Jun-03 10:19:42,Mrs.Zachary,Harrison,2016,6,7,23,2
1464930000000.0,2016-06-07,FEMALE,H@gmail.com,GAMES,100,8,4,796,ASIA (EX. NEAR EAST)         ,Sri Lanka ,Sri Jayawardenepura Kotte,2016-Jun-03 10:19:42,Mrs.Herbert,Kennedy,2016,6,7,23,2
1464930000000.0,2016-06-05,FEMALE,lyndon_tyler@hotmail.com,FASHION,600,4,7,2393,WESTERN EUROPE                     ,Ireland ,Dublin,2016-Jun-03 10:19:43,Mrs.Lyndon,Tyler,2016,6,5,22,2
1464930000000.0,2016-06-08,MALE,millard_nixon@hotmail.com,TOYS,25,1,4,21,WESTERN EUROPE                     ,Switzerland ,Bern,2016-Jun-03 10:19:43,Mr.Millard,Nixon,2016,6,8,23,2
1464930000000.0,2016-06-07,MALE,william.BUCHANAN@yahoomail.com,LIGHTING,55,8,4,436,LATIN AMER. & CARIB    ,French Guiana ,Cayenne,2016-Jun-03 10:19:44,Mr.William,Buchanan,2016,6,7,23,2
1464930000000.0,2016-06-08,MALE,theodore.2015-fillmore-boom@gmail.com,WARDROBE,850,5,6,4244,LATIN AMER. & CARIB    ,Honduras ,Tegucigalpa,2016-Jun-03 10:19:44,Mr.Theodore,Fillmore,2016,6,8,23,2
1464930000000.0,2016-06-08,FEMALE,grover.ford@outlook.com,PAINTING,175,2,6,344,C.W. OF IND. STATES ,Kyrgyzstan ,Bishkek,2016-Jun-03 10:19:44,Mrs.Grover,Ford,2016,6,8,23,2
1464930000000.0,2016-06-05,MALE,william_kennedy@hotmail.com,GADGETS,180,7,1,1259,LATIN AMER. & CARIB    ,El Salvador ,San Salvador,2016-Jun-03 10:19:44,Mr.William,Kennedy,2016,6,5,22,2
1464930000000.0,2016-06-06,FEMALE,M@gmail.com,LITERATURE,90,9,8,802,EASTERN EUROPE                     ,Serbia ,Belgrade,2016-Jun-03 10:19:48,Mrs.Martin,Carter,2016,6,6,23,2
1464930000000.0,2016-06-07,MALE,r@hotmail.com,COMPUTER PERIPHERALS,80,10,2,798,NORTHERN AMERICA                   ,United States ,"Washington, D.C.",2016-Jun-03 10:19:48,Mr.Ronald,Adams,2016,6,7,23,2
1464930000000.0,2016-06-08,FEMALE,j.john.t.tyler@in.defteam.com,CUTLERY,75,5,7,368,SUB-SAHARAN AFRICA                 ,Madagascar ,Antananarivo,2016-Jun-03 10:19:49,Mrs.John,Tyler,2016,6,8,23,2
1464930000000.0,2016-06-09,MALE,harry_coolidge@hotmail.com,TOYS,25,6,3,147,C.W. OF IND. STATES ,Russia ,Moscow,2016-Jun-03 10:19:50,Mr.Harry,Coolidge,2016,6,9,23,2
1464930000000.0,2016-06-09,MALE,D@gmail.com,TOYS,25,9,9,216,EASTERN EUROPE                     ,Albania ,Tirana,2016-Jun-03 10:19:50,Mr.Dwight,Johnson,2016,6,9,23,2
1464930000000.0,2016-06-09,FEMALE,johnandjefferson@yahoomail.com,OPTICAL,50,6,4,296,LATIN AMER. & CARIB    ,Bahamas,Nassau,2016-Jun-03 10:19:50,Mrs.John,Jefferson,2016,6,9,23,2
1464930000000.0,2016-06-07,FEMALE,b@hotmail.com,MOBILE,500,1,5,495,ASIA (EX. NEAR EAST)         ,Bangladesh ,Dhaka,2016-Jun-03 10:19:51,Mrs.Bill,Polk,2016,6,7,23,2
1464930000000.0,2016-06-06,MALE,herbert.NIXON@yahoomail.com,COMPUTER PERIPHERALS,80,2,3,157,SUB-SAHARAN AFRICA                 ,Seychelles ,Victoria,2016-Jun-03 10:19:51,Mr.Herbert,Nixon,2016,6,6,23,2
1464930000000.0,2016-06-06,FEMALE,johnandcoolidge@yahoomail.com,ARTS,35,8,1,279,WESTERN EUROPE                     ,San Marino ,San Marino,2016-Jun-03 10:19:54,Mrs.John,Coolidge,2016,6,6,23,2
1464930000000.0,2016-06-07,FEMALE,G@gmail.com,TOYS,25,1,8,17,WESTERN EUROPE                     ,Malta ,Valletta,2016-Jun-03 10:19:57,Mrs.Grover,Harrison,2016,6,7,23,2
1464930000000.0,2016-06-07,FEMALE,D@gmail.com,MOBILE,500,9,4,4496,NORTHERN AMERICA                   ,United States ,"Washington, D.C.",2016-Jun-03 10:19:58,Mrs.Dwight,Eisenhower,2016,6,7,23,2
1464930000000.0,2016-06-06,MALE,T@gmail.com,OPTICAL,50,5,5,245,OCEANIA                            ,French Polynesia ,Papeete,2016-Jun-03 10:19:58,Mr.Theodore,Harding,2016,6,6,23,2
1464930000000.0,2016-06-09,MALE,z.zachary.r.roosevelt@in.defteam.com,PAINTING,175,2,4,346,NEAR EAST                          ,Qatar ,Doha,2016-Jun-03 10:19:59,Mr.Zachary,Roosevelt,2016,6,9,23,2
1464930000000.0,2016-06-07,MALE,m@hotmail.com,LIGHTING,55,6,6,324,WESTERN EUROPE                     ,Italy ,Rome,2016-Jun-03 10:19:59,Mr.Martin,Cleveland,2016,6,7,23,2
1464930000000.0,2016-06-06,FEMALE,chester.ford@outlook.com,TOYS,25,5,8,117,WESTERN EUROPE                     ,Ireland ,Dublin,2016-Jun-03 10:19:59,Mrs.Chester,Ford,2016,6,6,23,2
1464930000000.0,2016-06-07,MALE,rutherford_coolidge@hotmail.com,ENTERTAINMENT,110,7,9,761,C.W. OF IND. STATES ,Kazakhstan ,Astana,2016-Jun-03 10:20:00,Mr.Rutherford,Coolidge,2016,6,7,23,2
1464930000000.0,2016-06-09,MALE,richard.adams@outlook.com,GAMES,100,8,9,791,WESTERN EUROPE                     ,France ,Paris,2016-Jun-03 10:20:00,Mr.Richard,Adams,2016,6,9,23,2
1464930000000.0,2016-06-09,MALE,woodrow.nixon@outlook.com,OPTICAL,50,1,5,45,LATIN AMER. & CARIB    ,Dominica ,Roseau,2016-Jun-03 10:20:01,Mr.Woodrow,Nixon,2016,6,9,23,2
1464930000000.0,2016-06-06,MALE,jimmy_madison@hotmail.com,CUTLERY,75,7,5,520,WESTERN EUROPE                     ,Andorra ,Andorra la Vella,2016-Jun-03 10:20:03,Mr.Jimmy,Madison,2016,6,6,23,2
1464930000000.0,2016-06-05,MALE,richard.ADAMS@yahoomail.com,GAMES,100,9,1,899,LATIN AMER. & CARIB    ,Haiti ,Port-au-Prince,2016-Jun-03 10:20:04,Mr.Richard,Adams,2016,6,5,22,2
1464930000000.0,2016-06-07,MALE,d.dwight.j.jackson@in.defteam.com,MUSIC,20,9,5,175,C.W. OF IND. STATES ,Turkmenistan ,Ashgabat,2016-Jun-03 10:20:07,Mr.Dwight,Jackson,2016,6,7,23,2
1464930000000.0,2016-06-07,FEMALE,t.thomas.c.cleveland@in.defteam.com,OPTICAL,50,10,1,499,NEAR EAST                          ,Lebanon ,Beirut,2016-Jun-03 10:20:08,Mrs.Thomas,Cleveland,2016,6,7,23,2
1464930000000.0,2016-06-08,MALE,b.bill.l.lincoln@in.defteam.com,HANDICRAFT,150,2,2,298,NEAR EAST                          ,Kuwait ,Kuwait City,2016-Jun-03 10:20:09,Mr.Bill,Lincoln,2016,6,8,23,2
1464930000000.0,2016-06-07,MALE,h@hotmail.com,GAMES,100,1,7,93,LATIN AMER. & CARIB    ,Ecuador ,Quito,2016-Jun-03 10:20:09,Mr.Herbert,Clinton,2016,6,7,23,2
1464930000000.0,2016-06-08,FEMALE,c.calvin.p.pierce@in.defteam.com,ELECTRONICS,800,7,3,5597,WESTERN EUROPE                     ,Finland ,Helsinki,2016-Jun-03 10:20:10,Mrs.Calvin,Pierce,2016,6,8,23,2
1464930000000.0,2016-06-08,FEMALE,herbert_johnson@hotmail.com,FOOTWEAR,45,9,4,401,NEAR EAST                          ,Jordan ,Amman,2016-Jun-03 10:20:10,Mrs.Herbert,Johnson,2016,6,8,23,2
1464930000000.0,2016-06-06,FEMALE,theodore.NIXON@yahoomail.com,FOOTWEAR,45,7,5,310,EASTERN EUROPE                     ,Croatia ,Zagreb,2016-Jun-03 10:20:11,Mrs.Theodore,Nixon,2016,6,6,23,2
1464930000000.0,2016-06-05,MALE,chester.MONROE@yahoomail.com,MUSIC,20,10,1,199,ASIA (EX. NEAR EAST)         ,Laos ,Vientiane,2016-Jun-03 10:20:12,Mr.Chester,Monroe,2016,6,5,22,2
1464930000000.0,2016-06-07,FEMALE,dwightandroosevelt@yahoomail.com,PAINTING,175,7,4,1221,SUB-SAHARAN AFRICA                 ,Djibouti ,Djibouti,2016-Jun-03 10:20:13,Mrs.Dwight,Roosevelt,2016,6,7,23,2
1464930000000.0,2016-06-07,MALE,ulyssesandfillmore@yahoomail.com,SOFTWARE,40,5,2,198,C.W. OF IND. STATES ,Kazakhstan ,Astana,2016-Jun-03 10:20:13,Mr.Ulysses,Fillmore,2016,6,7,23,2
1464930000000.0,2016-06-08,FEMALE,lyndon.2015-adams-boom@gmail.com,LIGHTING,55,5,5,270,LATIN AMER. & CARIB    ,Costa Rica ,San José,2016-Jun-03 10:20:14,Mrs.Lyndon,Adams,2016,6,8,23,2
1464930000000.0,2016-06-05,FEMALE,andrew.2015-garfield-boom@gmail.com,GAMES,100,1,1,99,OCEANIA                            ,Kiribati ,Tarawa,2016-Jun-03 10:20:15,Mrs.Andrew,Garfield,2016,6,5,22,2
1464930000000.0,2016-06-08,FEMALE,G@gmail.com,HANDICRAFT,150,7,6,1044,LATIN AMER. & CARIB    ,Suriname ,Paramaribo,2016-Jun-03 10:20:16,Mrs.Grover,Buchanan,2016,6,8,23,2
1464930000000.0,2016-06-07,MALE,thomas.taft@outlook.com,WARDROBE,850,2,9,1691,OCEANIA                            ,New Caledonia ,Nouméa,2016-Jun-03 10:20:17,Mr.Thomas,Taft,2016,6,7,23,2
1464930000000.0,2016-06-07,MALE,f@hotmail.com,LITERATURE,90,1,7,83,SUB-SAHARAN AFRICA                 ,Sudan ,Khartoum,2016-Jun-03 10:20:17,Mr.Franklin,Roosevelt,2016,6,7,23,2
1464930000000.0,2016-06-07,FEMALE,john.ADAMS@yahoomail.com,FOOTWEAR,45,7,2,313,NEAR EAST                          ,Yemen ,Sana'a,2016-Jun-03 10:20:19,Mrs.John,Adams,2016,6,7,23,2
1464930000000.0,2016-06-05,MALE,f@hotmail.com,MUSIC,20,8,9,151,WESTERN EUROPE                     ,Luxembourg ,Luxembourg,2016-Jun-03 10:20:22,Mr.Franklin,Clinton,2016,6,5,22,2
1464930000000.0,2016-06-07,MALE,T@gmail.com,TOYS,25,10,8,242,SUB-SAHARAN AFRICA                 ,Swaziland ,Mbabane,2016-Jun-03 10:20:22,Mr.Thomas,Truman,2016,6,7,23,2
1464930000000.0,2016-06-05,FEMALE,g@hotmail.com,GAMES,100,8,7,793,WESTERN EUROPE                     ,Gibraltar ,Gibraltar,2016-Jun-03 10:20:23,Mrs.Gerald,Coolidge,2016,6,5,22,2
1464930000000.0,2016-06-08,FEMALE,andrew.kennedy@outlook.com,GIFTS,60,3,3,177,SUB-SAHARAN AFRICA                 ,Lesotho ,Maseru,2016-Jun-03 10:20:23,Mrs.Andrew,Kennedy,2016,6,8,23,2
1464930000000.0,2016-06-05,FEMALE,john.GARFIELD@yahoomail.com,HANDICRAFT,150,6,7,893,SUB-SAHARAN AFRICA                 ,Rwanda ,Kigali,2016-Jun-03 10:20:23,Mrs.John,Garfield,2016,6,5,22,2
1464930000000.0,2016-06-09,FEMALE,james_madison@hotmail.com,ELECTRONICS,800,10,3,7997,ASIA (EX. NEAR EAST)         ,Indonesia ,Jakarta,2016-Jun-03 10:20:24,Mrs.James,Madison,2016,6,9,23,2
1464930000000.0,2016-06-08,FEMALE,l@hotmail.com,MECHANICAL,300,4,8,1192,OCEANIA                            ,Samoa ,Apia,2016-Jun-03 10:20:24,Mrs.Lyndon,Carter,2016,6,8,23,2
1464930000000.0,2016-06-08,MALE,abraham.fillmore@outlook.com,TOYS,25,7,9,166,WESTERN EUROPE                     ,Portugal ,Lisbon,2016-Jun-03 10:20:25,Mr.Abraham,Fillmore,2016,6,8,23,2
1464930000000.0,2016-06-06,MALE,harry_polk@hotmail.com,LIGHTING,55,4,5,215,SUB-SAHARAN AFRICA                 ,Zimbabwe ,Harare,2016-Jun-03 10:20:25,Mr.Harry,Polk,2016,6,6,23,2
1464930000000.0,2016-06-06,MALE,j.john.g.grant@in.defteam.com,GAMES,100,1,5,95,SUB-SAHARAN AFRICA                 ,Uganda ,Kampala,2016-Jun-03 10:20:25,Mr.John,Grant,2016,6,6,23,2
1464930000000.0,2016-06-09,FEMALE,w@hotmail.com,TOYS,25,7,9,166,LATIN AMER. & CARIB    ,Bolivia ,La Paz,2016-Jun-03 10:20:26,Mrs.Woodrow,Johnson,2016,6,9,23,2
1464930000000.0,2016-06-09,FEMALE,warren.harrison@outlook.com,ELECTRONICS,800,7,7,5593,LATIN AMER. & CARIB    ,Saint Lucia ,Castries,2016-Jun-03 10:20:26,Mrs.Warren,Harrison,2016,6,9,23,2
1464930000000.0,2016-06-08,MALE,r.richard.m.madison@in.defteam.com,VISUAL,275,9,4,2471,LATIN AMER. & CARIB    ,Anguilla ,The Valley,2016-Jun-03 10:20:26,Mr.Richard,Madison,2016,6,8,23,2
1464930000000.0,2016-06-06,MALE,w.woodrow.c.cleveland@in.defteam.com,WARDROBE,850,9,8,7642,ASIA (EX. NEAR EAST)         ,Vietnam ,Hanoi,2016-Jun-03 10:20:27,Mr.Woodrow,Cleveland,2016,6,6,23,2
1464930000000.0,2016-06-06,FEMALE,w@hotmail.com,WARDROBE,850,3,6,2544,LATIN AMER. & CARIB    ,Ecuador ,Quito,2016-Jun-03 10:20:28,Mrs.Woodrow,Nixon,2016,6,6,23,2
1464930000000.0,2016-06-06,MALE,r.ronald.e.eisenhower@in.defteam.com,FASHION,600,6,5,3595,OCEANIA                            ,Nauru ,Yaren,2016-Jun-03 10:20:28,Mr.Ronald,Eisenhower,2016,6,6,23,2
1464930000000.0,2016-06-09,FEMALE,grover.ROOSEVELT@yahoomail.com,GADGETS,180,4,9,711,WESTERN EUROPE                     ,Liechtenstein ,Vaduz,2016-Jun-03 10:20:29,Mrs.Grover,Roosevelt,2016,6,9,23,2
1464930000000.0,2016-06-09,MALE,calvinandarthur@yahoomail.com,SOFTWARE,40,10,5,395,OCEANIA                            ,Nauru ,Yaren,2016-Jun-03 10:20:30,Mr.Calvin,Arthur,2016,6,9,23,2
1464930000000.0,2016-06-09,FEMALE,W@gmail.com,ELECTRONICS,800,8,6,6394,OCEANIA                            ,Nauru ,Yaren,2016-Jun-03 10:20:30,Mrs.Woodrow,Roosevelt,2016,6,9,23,2
1464930000000.0,2016-06-06,MALE,g@hotmail.com,ARTS,35,7,7,238,NORTHERN AFRICA                    ,Egypt ,Cairo,2016-Jun-03 10:20:30,Mr.Grover,Ford,2016,6,6,23,2
1464930000000.0,2016-06-09,MALE,bill.2015-carter-boom@gmail.com,GIFTS,60,8,3,477,C.W. OF IND. STATES ,Armenia ,Yerevan,2016-Jun-03 10:20:31,Mr.Bill,Carter,2016,6,9,23,2
1464930000000.0,2016-06-05,MALE,R@gmail.com,ELECTRONICS,800,10,5,7995,LATIN AMER. & CARIB    ,Venezuela ,Caracas,2016-Jun-03 10:20:32,Mr.Ronald,Hoover,2016,6,5,22,2
1464930000000.0,2016-06-08,FEMALE,john.2015-ford-boom@gmail.com,FOOTWEAR,45,4,2,178,ASIA (EX. NEAR EAST)         ,Philippines ,Manila,2016-Jun-03 10:20:32,Mrs.John,Ford,2016,6,8,23,2
1464930000000.0,2016-06-08,MALE,ronald.FORD@yahoomail.com,MUSIC,20,9,7,173,SUB-SAHARAN AFRICA                 ,Rwanda ,Kigali,2016-Jun-03 10:20:33,Mr.Ronald,Ford,2016,6,8,23,2
1464930000000.0,2016-06-07,FEMALE,zachary_hayes@hotmail.com,FASHION,600,4,3,2397,LATIN AMER. & CARIB    ,Paraguay ,Asunción,2016-Jun-03 10:20:34,Mrs.Zachary,Hayes,2016,6,7,23,2
1464930000000.0,2016-06-08,FEMALE,theodoreandjohnson@yahoomail.com,LITERATURE,90,10,7,893,OCEANIA                            ,Nauru ,Yaren,2016-Jun-03 10:20:34,Mrs.Theodore,Johnson,2016,6,8,23,2
1464930000000.0,2016-06-09,FEMALE,r.richard.g.grant@in.defteam.com,GADGETS,180,1,9,171,SUB-SAHARAN AFRICA                 ,Zimbabwe ,Harare,2016-Jun-03 10:20:34,Mrs.Richard,Grant,2016,6,9,23,2
1464930000000.0,2016-06-08,FEMALE,thomasandarthur@yahoomail.com,PAINTING,175,3,4,521,LATIN AMER. & CARIB    ,Cuba ,Havana,2016-Jun-03 10:20:35,Mrs.Thomas,Arthur,2016,6,8,23,2
1464930000000.0,2016-06-06,FEMALE,g@hotmail.com,PAINTING,175,6,5,1045,WESTERN EUROPE                     ,San Marino ,San Marino,2016-Jun-03 10:20:36,Mrs.George,Lincoln,2016,6,6,23,2
1464930000000.0,2016-06-08,FEMALE,b.benjamin.e.eisenhower@in.defteam.com,OPTICAL,50,3,6,144,OCEANIA                            ,New Zealand ,Wellington,2016-Jun-03 10:20:36,Mrs.Benjamin,Eisenhower,2016,6,8,23,2
1464930000000.0,2016-06-06,MALE,dwight.2015-mckinley-boom@gmail.com,GAMES,100,1,2,98,NEAR EAST                          ,Jordan ,Amman,2016-Jun-03 10:20:38,Mr.Dwight,McKinley,2016,6,6,23,2
1464930000000.0,2016-06-05,MALE,ronaldandreagan@yahoomail.com,COMPUTER PERIPHERALS,80,2,6,154,ASIA (EX. NEAR EAST)         ,Singapore ,Singapore,2016-Jun-03 10:20:39,Mr.Ronald,Reagan,2016,6,5,22,2
1464930000000.0,2016-06-08,MALE,woodrowandhayes@yahoomail.com,TOYS,25,9,4,221,WESTERN EUROPE                     ,Liechtenstein ,Vaduz,2016-Jun-03 10:20:39,Mr.Woodrow,Hayes,2016,6,8,23,2
1464930000000.0,2016-06-08,MALE,james.HARDING@yahoomail.com,FURNITURE,450,8,5,3595,SUB-SAHARAN AFRICA                 ,Saint Helena ,Jamestown,2016-Jun-03 10:20:40,Mr.James,Harding,2016,6,8,23,2
1464930000000.0,2016-06-08,FEMALE,m@hotmail.com,VISUAL,275,9,6,2469,WESTERN EUROPE                     ,Liechtenstein ,Vaduz,2016-Jun-03 10:20:40,Mrs.Millard,Nixon,2016,6,8,23,2
1464930000000.0,2016-06-09,FEMALE,william.taylor@outlook.com,WARDROBE,850,1,7,843,LATIN AMER. & CARIB    ,Saint Vincent and the Grenadines ,Kingstown,2016-Jun-03 10:20:40,Mrs.William,Taylor,2016,6,9,23,2
1464930000000.0,2016-06-05,MALE,thomas.ARTHUR@yahoomail.com,MUSIC,20,2,6,34,NEAR EAST                          ,Yemen ,Sana'a,2016-Jun-03 10:20:41,Mr.Thomas,Arthur,2016,6,5,22,2
1464930000000.0,2016-06-06,MALE,martin.2015-eisenhower-boom@gmail.com,CROCKERY,30,5,1,149,OCEANIA                            ,Nauru ,Yaren,2016-Jun-03 10:20:41,Mr.Martin,Eisenhower,2016,6,6,23,2
1464930000000.0,2016-06-05,FEMALE,A@gmail.com,ELECTRICAL,250,4,8,992,LATIN AMER. & CARIB    ,Guatemala ,Guatemala City,2016-Jun-03 10:20:41,Mrs.Andrew,Adams,2016,6,5,22,2
1464930000000.0,2016-06-09,MALE,C@gmail.com,CROCKERY,30,10,6,294,BALTICS                            ,Lithuania ,Vilnius,2016-Jun-03 10:20:43,Mr.Calvin,Nixon,2016,6,9,23,2
1464930000000.0,2016-06-06,MALE,L@gmail.com,PAINTING,175,9,7,1568,WESTERN EUROPE                     ,Portugal ,Lisbon,2016-Jun-03 10:20:44,Mr.Lyndon,Truman,2016,6,6,23,2
1464930000000.0,2016-06-07,FEMALE,woodrow.HOOVER@yahoomail.com,GADGETS,180,7,3,1257,LATIN AMER. & CARIB    ,Uruguay ,Montevideo,2016-Jun-03 10:20:44,Mrs.Woodrow,Hoover,2016,6,7,23,2
1464930000000.0,2016-06-08,MALE,h.herbert.l.lincoln@in.defteam.com,MECHANICAL,300,3,5,895,LATIN AMER. & CARIB    ,Guatemala ,Guatemala City,2016-Jun-03 10:20:46,Mr.Herbert,Lincoln,2016,6,8,23,2
1464930000000.0,2016-06-06,MALE,thomas.roosevelt@outlook.com,FOOTWEAR,45,10,7,443,ASIA (EX. NEAR EAST)         ,Iran ,Tehran,2016-Jun-03 10:20:47,Mr.Thomas,Roosevelt,2016,6,6,23,2
