TRANSACTION_ID,TRANSACTION_DATE,USER_FULL_NAME,GENDER,EMAIL_CONTACT,PRODUCT_DESCRIPTION,PRODUCT_UNIT_PRICE,QUANTITY,DISCOUNT_AMOUNT,NET_SALE_VALUE,REGION,COUNTRY,CAPITAL_CITY,EVENT_LOG_TIMESTAMP
1.46493E+12,2016-Jun-08 10:19:35,Mrs.William Truman,FEMALE,W@william@truman@gmail.com,FOOTWEAR,45,5,2,223,WESTERN EUROPE                     ,Liechtenstein ,Vaduz,2016-Jun-03 10:19:35
1.46493E+12,2016-Jun-09 10:19:36,Mrs.Grover Jackson,f,groverandjackson@yahoomail.com,FURNITURE,450,3,8,1342,C.W. OF IND. STATES ,Turkmenistan ,Ashgabat,2016-Jun-03 10:19:36
1.46493E+12,2016-Jun-06 10:19:37,Mrs.Theodore Wilson,F,theodore.WILSON@yahoomail.com,LITERATURE,90,8,5,715,C.W. OF IND. STATES ,Georgia ,Tbilisi,2016-Jun-03 10:19:37
1.46493E+12,2016-Jun-06 10:19:38,Mrs.Dwight Truman,f,dwight..truman@facebook.com,GIFTS,60,5,4,296,WESTERN EUROPE                     ,Switzerland ,Bern,2016-Jun-03 10:19:38
1.46493E+12,2016-Jun-06 10:19:39,,,william..jackson@facebook.com,HANDICRAFT,150,8,1,1199,LATIN AMER. & CARIB    ,Cuba ,Havana,2016-Jun-03 10:19:39
1.46493E+12,2016-Jun-09 10:19:39,Mrs.Theodore Carter,Female,t.theodore.c.carter@in.defteam.com,TOYS,25,9,6,219,LATIN AMER. & CARIB    ,Anguilla ,The Valley,2016-Jun-03 10:19:39
1.46493E+12,2016-Jun-09 10:19:42,Mr.James Wilson,male,j@hotmail.com,ELECTRICAL,250,8,1,1999,EASTERN EUROPE                     ,Poland ,Warsaw,2016-Jun-03 10:19:42
1.46493E+12,2016-Jun-07 10:19:42,Mrs.Zachary Harrison,Female,zachary.2015-harrison-boom@gmail.com,ENTERTAINMENT,110,9,5,985,SUB-SAHARAN AFRICA                 ,Tanzania ,Dodoma,2016-Jun-03 10:19:42
1.46493E+12,2016-Jun-07 10:19:42,Mrs.Herbert Kennedy,Female,H@gmail.com,GAMES,100,8,4,796,ASIA (EX. NEAR EAST)         ,Sri Lanka ,Sri Jayawardenepura Kotte,2016-Jun-03 10:19:42
1.46493E+12,2016-Jun-09 10:19:43,Mrs.Herbert Reagan,F,h.herbert.r.reagan+2015@facebook.com,FOOTWEAR,45,4,9,171,LATIN AMER. & CARIB    ,Mexico ,Mexico City,2016-Jun-03 10:19:43
1.46493E+12,2016-Jun-05 10:19:43,Mrs.Lyndon Tyler,FEMALE,lyndon_tyler@hotmail.com,FASHION,600,4,7,2393,WESTERN EUROPE                     ,Ireland ,Dublin,2016-Jun-03 10:19:43
1.46493E+12,2016-Jun-08 10:19:43,Mr.Millard Nixon,m,millard_nixon@hotmail.com,TOYS,25,1,4,21,WESTERN EUROPE                     ,Switzerland ,Bern,2016-Jun-03 10:19:43
1.46493E+12,2016-Jun-08 10:19:44,Mrs.Chester Buchanan,f,chester..buchanan@facebook.com,OPTICAL,50,8,9,391,SUB-SAHARAN AFRICA                 ,Gabon ,Libreville,2016-Jun-03 10:19:44
1.46493E+12,2016-Jun-07 10:19:44,Mr.William Buchanan,m,william.BUCHANAN@yahoomail.com,LIGHTING,55,8,4,436,LATIN AMER. & CARIB    ,French Guiana ,Cayenne,2016-Jun-03 10:19:44
1.46493E+12,2016-Jun-08 10:19:44,Mr.Theodore Fillmore,M,theodore.2015-fillmore-boom@gmail.com,WARDROBE,850,5,6,4244,LATIN AMER. & CARIB    ,Honduras ,Tegucigalpa,2016-Jun-03 10:19:44
1.46493E+12,2016-Jun-08 10:19:44,Mrs.Grover Ford,female,grover.ford@outlook.com,PAINTING,175,2,6,344,C.W. OF IND. STATES ,Kyrgyzstan ,Bishkek,2016-Jun-03 10:19:44
1.46493E+12,2016-Jun-05 10:19:44,Mr.William Kennedy,m,william_kennedy@hotmail.com,GADGETS,180,7,1,1259,LATIN AMER. & CARIB    ,El Salvador ,San Salvador,2016-Jun-03 10:19:44
1.46493E+12,2016-Jun-08 10:19:45,Mr.Lyndon Adams,MALE,L@lyndon@adams@gmail.com,ARTS,35,5,3,172,WESTERN EUROPE                     ,Greece ,Athens,2016-Jun-03 10:19:45
1.46493E+12,2016-Jun-09 10:19:46,,,millard..tyler@facebook.com,GIFTS,60,10,5,595,C.W. OF IND. STATES ,Uzbekistan ,Tashkent,2016-Jun-03 10:19:46
1.46493E+12,2016-Jun-05 10:19:47,Mrs.Gerald Harding,Female,gerald.harding@outlook..com,LIGHTING,55,4,9,211,LATIN AMER. & CARIB    ,Peru ,Lima,2016-Jun-03 10:19:47
1.46493E+12,2016-Jun-06 10:19:48,Mrs.Martin Carter,f,M@gmail.com,LITERATURE,90,9,8,802,EASTERN EUROPE                     ,Serbia ,Belgrade,2016-Jun-03 10:19:48
1.46493E+12,2016-Jun-07 10:19:48,Mr.Ronald Adams,male,r@hotmail.com,COMPUTER PERIPHERALS,80,10,2,798,NORTHERN AMERICA                   ,United States ,"Washington, D.C.",2016-Jun-03 10:19:48
1.46493E+12,2016-Jun-06 10:19:48,Mrs.Ulysses Monroe,Female,ulysses.monroe.com,OPTICAL,50,6,7,293,ASIA (EX. NEAR EAST)         ,Thailand ,Bangkok,2016-Jun-03 10:19:48
1.46493E+12,2016-Jun-08 10:19:49,Mrs.John Tyler,female,j.john.t.tyler@in.defteam.com,CUTLERY,75,5,7,368,SUB-SAHARAN AFRICA                 ,Madagascar ,Antananarivo,2016-Jun-03 10:19:49
1.46493E+12,2016-Jun-06 10:19:49,Mrs.John Fillmore,FEMALE,john..fillmore@facebook.com,WARDROBE,850,9,2,7648,EASTERN EUROPE                     ,Croatia ,Zagreb,2016-Jun-03 10:19:49
1.46493E+12,2016-Jun-07 10:19:49,,,warren.2015-hoover-boom@gmail.com,HANDICRAFT,150,2,4,296,WESTERN EUROPE                     ,San Marino ,San Marino,2016-Jun-03 10:19:49
1.46493E+12,2016-Jun-07 10:19:49,Mr.Martin Tyler,Male,martin.tyler.com,FOOTWEAR,45,2,8,82,C.W. OF IND. STATES ,Belarus ,Minsk,2016-Jun-03 10:19:49
1.46493E+12,2016-Jun-07 10:19:49,Mr.Gerald Polk,MALE,G@gerald@polk@gmail.com,SOFTWARE,40,1,2,38,LATIN AMER. & CARIB    ,Aruba ,Oranjestad,2016-Jun-03 10:19:49
1.46493E+12,2016-Jun-09 10:19:50,Mr.Harry Coolidge,male,harry_coolidge@hotmail.com,TOYS,25,6,3,147,C.W. OF IND. STATES ,Russia ,Moscow,2016-Jun-03 10:19:50
1.46493E+12,2016-Jun-09 10:19:50,Mr.Dwight Johnson,MALE,D@gmail.com,TOYS,25,9,9,216,EASTERN EUROPE                     ,Albania ,Tirana,2016-Jun-03 10:19:50
1.46493E+12,2016-Jun-09 10:19:50,Mrs.John Jefferson,female,johnandjefferson@yahoomail.com,OPTICAL,50,6,4,296,LATIN AMER. & CARIB    ,Bahamas,Nassau,2016-Jun-03 10:19:50
1.46493E+12,2016-Jun-09 10:19:51,Mr.Calvin Washington,MALE,c.calvin.w.washington+2015@facebook.com,VISUAL,275,1,9,266,OCEANIA                            ,Vanuatu ,Port Vila,2016-Jun-03 10:19:51
1.46493E+12,2016-Jun-07 10:19:51,Mrs.Bill Polk,Female,b@hotmail.com,MOBILE,500,1,5,495,ASIA (EX. NEAR EAST)         ,Bangladesh ,Dhaka,2016-Jun-03 10:19:51
1.46493E+12,2016-Jun-05 10:19:51,Mr.Warren Madison,MALE,w.warren.m.madison+2015@facebook.com,OPTICAL,50,10,8,492,SUB-SAHARAN AFRICA                 ,Somalia ,Mogadishu,2016-Jun-03 10:19:51
1.46493E+12,2016-Jun-06 10:19:51,Mr.Herbert Nixon,MALE,herbert.NIXON@yahoomail.com,COMPUTER PERIPHERALS,80,2,3,157,SUB-SAHARAN AFRICA                 ,Seychelles ,Victoria,2016-Jun-03 10:19:51
1.46493E+12,2016-Jun-06 10:19:52,Mr.Woodrow Fillmore,male,w.woodrow.f.fillmore+2015@facebook.com,LITERATURE,90,1,1,89,WESTERN EUROPE                     ,Netherlands ,Amsterdam,2016-Jun-03 10:19:52
1.46493E+12,2016-Jun-05 10:19:52,Mrs.Ulysses Madison,female,U@ulysses@madison@gmail.com,LITERATURE,90,5,9,441,ASIA (EX. NEAR EAST)         ,Singapore ,Singapore,2016-Jun-03 10:19:52
1.46493E+12,2016-Jun-06 10:19:54,Mrs.John Coolidge,female,johnandcoolidge@yahoomail.com,ARTS,35,8,1,279,WESTERN EUROPE                     ,San Marino ,San Marino,2016-Jun-03 10:19:54
1.46493E+12,2016-Jun-08 10:19:55,Mr.James Washington,MALE,james.washington@outlook..com,COMPUTER PERIPHERALS,80,6,5,475,ASIA (EX. NEAR EAST)         ,Maldives ,Malé,2016-Jun-03 10:19:55
1.46493E+12,2016-Jun-09 10:19:57,Mrs.Benjamin Nixon,f,benjamin..nixon@facebook.com,GAMES,100,5,7,493,ASIA (EX. NEAR EAST)         ,Brunei ,Bandar Seri Begawan,2016-Jun-03 10:19:57
1.46493E+12,2016-Jun-07 10:19:57,Mrs.Grover Harrison,FEMALE,G@gmail.com,TOYS,25,1,8,17,WESTERN EUROPE                     ,Malta ,Valletta,2016-Jun-03 10:19:57
1.46493E+12,2016-Jun-07 10:19:57,Mrs.Calvin Pierce,F,c.calvin.p.pierce+2015@facebook.com,VISUAL,275,1,6,269,ASIA (EX. NEAR EAST)         ,China ,Beijing,2016-Jun-03 10:19:57
1.46493E+12,2016-Jun-07 10:19:58,Mrs.Dwight Eisenhower,F,D@gmail.com,MOBILE,500,9,4,4496,NORTHERN AMERICA                   ,United States ,"Washington, D.C.",2016-Jun-03 10:19:58
1.46493E+12,2016-Jun-06 10:19:58,Mr.Theodore Harding,M,T@gmail.com,OPTICAL,50,5,5,245,OCEANIA                            ,French Polynesia ,Papeete,2016-Jun-03 10:19:58
1.46493E+12,2016-Jun-06 10:19:58,,,grover.adams@outlook..com,MOBILE,500,3,8,1492,C.W. OF IND. STATES ,Ukraine ,Kiev,2016-Jun-03 10:19:58
1.46493E+12,2016-Jun-09 10:19:59,Mr.Zachary Roosevelt,MALE,z.zachary.r.roosevelt@in.defteam.com,PAINTING,175,2,4,346,NEAR EAST                          ,Qatar ,Doha,2016-Jun-03 10:19:59
1.46493E+12,2016-Jun-09 10:19:59,Mrs.Martin Quincy,F,martin.quincy@outlook..com,PAINTING,175,10,5,1745,SUB-SAHARAN AFRICA                 ,Nigeria ,Abuja,2016-Jun-03 10:19:59
1.46493E+12,2016-Jun-09 10:19:59,Mr.Richard Nixon,MALE,R@richard@nixon@gmail.com,PAINTING,175,2,3,347,EASTERN EUROPE                     ,Poland ,Warsaw,2016-Jun-03 10:19:59
1.46493E+12,2016-Jun-07 10:19:59,Mr.Martin Cleveland,m,m@hotmail.com,LIGHTING,55,6,6,324,WESTERN EUROPE                     ,Italy ,Rome,2016-Jun-03 10:19:59
1.46493E+12,2016-Jun-06 10:19:59,Mrs.Chester Ford,F,chester.ford@outlook.com,TOYS,25,5,8,117,WESTERN EUROPE                     ,Ireland ,Dublin,2016-Jun-03 10:19:59
1.46493E+12,2016-Jun-06 10:19:59,Mrs.Calvin Van Buren,Female,calvin.van buren@outlook.com,WARDROBE,850,10,4,8496,SUB-SAHARAN AFRICA                 ,Cape Verde ,Praia,2016-Jun-03 10:19:59
1.46493E+12,2016-Jun-05 10:20:00,,,benjamin_mckinley@hotmail.com,WARDROBE,850,10,4,8496,ASIA (EX. NEAR EAST)         ,Sri Lanka ,Sri Jayawardenepura Kotte,2016-Jun-03 10:20:00
1.46493E+12,2016-Jun-07 10:20:00,Mr.Rutherford Coolidge,MALE,rutherford_coolidge@hotmail.com,ENTERTAINMENT,110,7,9,761,C.W. OF IND. STATES ,Kazakhstan ,Astana,2016-Jun-03 10:20:00
1.46493E+12,2016-Jun-09 10:20:00,Mr.Richard Adams,M,richard.adams@outlook.com,GAMES,100,8,9,791,WESTERN EUROPE                     ,France ,Paris,2016-Jun-03 10:20:00
1.46493E+12,2016-Jun-05 10:20:01,,,abraham.van buren@outlook.com,CUTLERY,75,5,3,372,SUB-SAHARAN AFRICA                 ,Uganda ,Kampala,2016-Jun-03 10:20:01
1.46493E+12,2016-Jun-09 10:20:01,Mr.Woodrow Nixon,male,woodrow.nixon@outlook.com,OPTICAL,50,1,5,45,LATIN AMER. & CARIB    ,Dominica ,Roseau,2016-Jun-03 10:20:01
1.46493E+12,2016-Jun-06 10:20:02,,,george..quincy@facebook.com,MUSIC,20,2,9,31,ASIA (EX. NEAR EAST)         ,Pakistan ,Islamabad,2016-Jun-03 10:20:02
1.46493E+12,2016-Jun-07 10:20:02,Mrs.Bill Quincy,FEMALE,bill.quincy@outlook..com,LITERATURE,90,3,6,264,NEAR EAST                          ,Qatar ,Doha,2016-Jun-03 10:20:02
1.46493E+12,2016-Jun-06 10:20:03,Mr.Jimmy Madison,male,jimmy_madison@hotmail.com,CUTLERY,75,7,5,520,WESTERN EUROPE                     ,Andorra ,Andorra la Vella,2016-Jun-03 10:20:03
1.46493E+12,2016-Jun-07 10:20:03,Mrs.Bill Jackson,f,b.bill.j.jackson+2015@facebook.com,CUTLERY,75,6,9,441,LATIN AMER. & CARIB    ,Mexico ,Mexico City,2016-Jun-03 10:20:03
1.46493E+12,2016-Jun-06 10:20:03,Mrs.Warren Jefferson,F,w.warren.j.jefferson+2015@facebook.com,CROCKERY,30,8,1,239,NEAR EAST                          ,Yemen ,Sana'a,2016-Jun-03 10:20:03
1.46493E+12,2016-Jun-05 10:20:04,Mr.Richard Adams,male,richard.ADAMS@yahoomail.com,GAMES,100,9,1,899,LATIN AMER. & CARIB    ,Haiti ,Port-au-Prince,2016-Jun-03 10:20:04
1.46493E+12,2016-Jun-07 10:20:07,Mr.Dwight Jackson,male,d.dwight.j.jackson@in.defteam.com,MUSIC,20,9,5,175,C.W. OF IND. STATES ,Turkmenistan ,Ashgabat,2016-Jun-03 10:20:07
1.46493E+12,2016-Jun-07 10:20:08,,,richard.hayes@outlook..com,FASHION,600,2,6,1194,WESTERN EUROPE                     ,Andorra ,Andorra la Vella,2016-Jun-03 10:20:08
1.46493E+12,2016-Jun-07 10:20:08,Mrs.Thomas Cleveland,female,t.thomas.c.cleveland@in.defteam.com,OPTICAL,50,10,1,499,NEAR EAST                          ,Lebanon ,Beirut,2016-Jun-03 10:20:08
1.46493E+12,2016-Jun-08 10:20:08,Mrs.Andrew McKinley,F,A@andrew@mckinley@gmail.com,COMPUTER PERIPHERALS,80,9,6,714,ASIA (EX. NEAR EAST)         ,China ,Beijing,2016-Jun-03 10:20:08
1.46493E+12,2016-Jun-08 10:20:09,Mr.Bill Lincoln,M,b.bill.l.lincoln@in.defteam.com,HANDICRAFT,150,2,2,298,NEAR EAST                          ,Kuwait ,Kuwait City,2016-Jun-03 10:20:09
1.46493E+12,2016-Jun-07 10:20:09,Mr.Herbert Clinton,Male,h@hotmail.com,GAMES,100,1,7,93,LATIN AMER. & CARIB    ,Ecuador ,Quito,2016-Jun-03 10:20:09
1.46493E+12,2016-Jun-08 10:20:10,Mrs.Calvin Pierce,female,c.calvin.p.pierce@in.defteam.com,ELECTRONICS,800,7,3,5597,WESTERN EUROPE                     ,Finland ,Helsinki,2016-Jun-03 10:20:10
1.46493E+12,2016-Jun-08 10:20:10,Mrs.Herbert Johnson,female,herbert_johnson@hotmail.com,FOOTWEAR,45,9,4,401,NEAR EAST                          ,Jordan ,Amman,2016-Jun-03 10:20:10
1.46493E+12,2016-Jun-08 10:20:10,Mr.Martin Kennedy,m,martin.kennedy.com,MUSIC,20,9,1,179,ASIA (EX. NEAR EAST)         ,Nepal ,Kathmandu,2016-Jun-03 10:20:10
1.46493E+12,2016-Jun-05 10:20:10,,,jimmy.jackson@outlook.com,VISUAL,275,7,4,1921,NEAR EAST                          ,Israel ,Jerusalem,2016-Jun-03 10:20:10
1.46493E+12,2016-Jun-05 10:20:10,Mrs.Ulysses Taft,FEMALE,ulysses..taft@facebook.com,GIFTS,60,2,7,113,ASIA (EX. NEAR EAST)         ,Bangladesh ,Dhaka,2016-Jun-03 10:20:10
1.46493E+12,2016-Jun-07 10:20:10,Mrs.Herbert Roosevelt,FEMALE,H@herbert@roosevelt@gmail.com,OPTICAL,50,10,1,499,WESTERN EUROPE                     ,San Marino ,San Marino,2016-Jun-03 10:20:10
1.46493E+12,2016-Jun-06 10:20:11,Mrs.Theodore Nixon,Female,theodore.NIXON@yahoomail.com,FOOTWEAR,45,7,5,310,EASTERN EUROPE                     ,Croatia ,Zagreb,2016-Jun-03 10:20:11
1.46493E+12,2016-Jun-05 10:20:11,Mrs.Millard Taft,FEMALE,millard.taft.com,HANDICRAFT,150,7,2,1048,OCEANIA                            ,Papua New Guinea ,Port Moresby,2016-Jun-03 10:20:11
1.46493E+12,2016-Jun-05 10:20:12,Mr.Chester Monroe,MALE,chester.MONROE@yahoomail.com,MUSIC,20,10,1,199,ASIA (EX. NEAR EAST)         ,Laos ,Vientiane,2016-Jun-03 10:20:12
1.46493E+12,2016-Jun-09 10:20:12,,,george.2015-washington-boom@gmail.com,MOBILE,500,5,5,2495,SUB-SAHARAN AFRICA                 ,Togo ,Lomé,2016-Jun-03 10:20:12
1.46493E+12,2016-Jun-07 10:20:13,Mrs.Dwight Roosevelt,female,dwightandroosevelt@yahoomail.com,PAINTING,175,7,4,1221,SUB-SAHARAN AFRICA                 ,Djibouti ,Djibouti,2016-Jun-03 10:20:13
1.46493E+12,2016-Jun-09 10:20:13,,,M@gmail.com,ENTERTAINMENT,110,10,6,1094,LATIN AMER. & CARIB    ,Anguilla ,The Valley,2016-Jun-03 10:20:13
1.46493E+12,2016-Jun-05 10:20:13,,,johnandfillmore@yahoomail.com,FASHION,600,3,7,1793,SUB-SAHARAN AFRICA                 ,Eritrea ,Asmara,2016-Jun-03 10:20:13
1.46493E+12,2016-Jun-06 10:20:13,Mrs.Millard Cleveland,female,millard.cleveland@outlook..com,FOOTWEAR,45,2,4,86,NORTHERN AFRICA                    ,Algeria ,Algiers,2016-Jun-03 10:20:13
